Time [s]	Force [kN]	Displacement [m]
3.634665133541104681e-02	1.785028425897363866e-02	1.781781781781781815e+00
3.774076410185727565e-02	1.852224504302911121e-02	1.801801801801801828e+00
3.916568823174194219e-02	1.920809950387560028e-02	1.821821821821821841e+00
4.062132724752621354e-02	1.990773997640279264e-02	1.841841841841841854e+00
4.210755819885955015e-02	2.062104515526980847e-02	1.861861861861861867e+00
4.362423107861310156e-02	2.134787996394359524e-02	1.881881881881881879e+00
4.517116853223843154e-02	2.208809555432233659e-02	1.901901901901901892e+00
4.674816551550238508e-02	2.284152933823923801e-02	1.921921921921921905e+00
4.835498925937142811e-02	2.360800498963250282e-02	1.941941941941941918e+00
4.999137884235103912e-02	2.438733243169708548e-02	1.961961961961961931e+00
5.165704489408354944e-02	2.517930779988168666e-02	1.981981981981981944e+00
5.335166934692700536e-02	2.598371363032324355e-02	2.002002002002002179e+00
5.507490536076722204e-02	2.680031889162293179e-02	2.022022022022022192e+00
5.682637723473614455e-02	2.762887901856664677e-02	2.042042042042042205e+00
5.860567994790680940e-02	2.846913596026748663e-02	2.062062062062062218e+00
6.041237911667780153e-02	2.932081832182961353e-02	2.082082082082082231e+00
6.224601090100354700e-02	3.018364160584177322e-02	2.102102102102102243e+00
6.410608199479699010e-02	3.105730822307686129e-02	2.122122122122122256e+00
6.599206944453260559e-02	3.194150763351909922e-02	2.142142142142142269e+00
6.790342043096092572e-02	3.283591644488753625e-02	2.162162162162162282e+00
6.983955239224844125e-02	3.374019877127429345e-02	2.182182182182182295e+00
7.179985302345026632e-02	3.465400635155780479e-02	2.202202202202202308e+00
7.378368024726252028e-02	3.557697864319196712e-02	2.222222222222222321e+00
7.579036205138241222e-02	3.650874304421294209e-02	2.242242242242242334e+00
7.781919667109743477e-02	3.744891520536786089e-02	2.262262262262262347e+00
7.986945269800795055e-02	3.839709928286622054e-02	2.282282282282282360e+00
8.194036909170762661e-02	3.935288803086178788e-02	2.302302302302302373e+00
8.403115514684629528e-02	4.031586307474714637e-02	2.322322322322322385e+00
8.614099074790146360e-02	4.128559526064062152e-02	2.342342342342342398e+00
8.826902655608942494e-02	4.226164492826538915e-02	2.362362362362362411e+00
9.041438406555468710e-02	4.324356205230132227e-02	2.382382382382382424e+00
9.257615568434719722e-02	4.423088653948354515e-02	2.402402402402402437e+00
9.475340512889628142e-02	4.522314865046411086e-02	2.422422422422422450e+00
9.694516760454030546e-02	4.621986920964234191e-02	2.442442442442442463e+00
9.915044993802482609e-02	4.722055983302466536e-02	2.462462462462462476e+00
1.013682308084654093e-01	4.822472325331910586e-02	2.482482482482482489e+00
1.035974612474163670e-01	4.923185376838052491e-02	2.502502502502502502e+00
1.058370647761519845e-01	5.024143738165434692e-02	2.522522522522522515e+00
1.080859376504559044e-01	5.125295211806392415e-02	2.542542542542542527e+00
1.103429493308357157e-01	5.226586842404030986e-02	2.562562562562562540e+00
1.126069428918779619e-01	5.327964948828833175e-02	2.582582582582582553e+00
1.148767352401049990e-01	5.429375144602746617e-02	2.602602602602602566e+00
1.171511174946520684e-01	5.530762372267689075e-02	2.622622622622622579e+00
1.194288556500385234e-01	5.632070948065271560e-02	2.642642642642642592e+00
1.217086908095772468e-01	5.733244578548222364e-02	2.662662662662662605e+00
1.239893395836044188e-01	5.834226392155034135e-02	2.682682682682682618e+00
1.262694947432834169e-01	5.934958979679404167e-02	2.702702702702702631e+00
1.285478256913422102e-01	6.035384422043024721e-02	2.722722722722722644e+00
1.308229788134250005e-01	6.135444313012275441e-02	2.742742742742742657e+00
1.330935780816132619e-01	6.235079794592775226e-02	2.762762762762762669e+00
1.353582257805580613e-01	6.334231593966074825e-02	2.782782782782782682e+00
1.376155028298948757e-01	6.432840040400496229e-02	2.802802802802802695e+00
1.398639693666191286e-01	6.530845096093182423e-02	2.822822822822822708e+00
1.421021656090113994e-01	6.628186394615093180e-02	2.842842842842842721e+00
1.443286122463282029e-01	6.724803258109121606e-02	2.862862862862862734e+00
1.465418110246211325e-01	6.820634723520589693e-02	2.882882882882882747e+00
1.487402456164033937e-01	6.915619576721566963e-02	2.902902902902902760e+00
1.509223822004707449e-01	7.009696374298170218e-02	2.922922922922922773e+00
1.530866699969769262e-01	7.102803463323391353e-02	2.942942942942942786e+00
1.552315421331686984e-01	7.194879011016185044e-02	2.962962962962962798e+00
1.573554164223283092e-01	7.285861029557670621e-02	2.982982982982982811e+00
1.594566958596045358e-01	7.375687391027020701e-02	3.003003003003002824e+00
1.615337694695258564e-01	7.464295852058527858e-02	3.023023023023022837e+00
1.635850132594230122e-01	7.551624079316898719e-02	3.043043043043042850e+00
1.656087907048469920e-01	7.637609661413641282e-02	3.063063063063062863e+00
1.676034535873469344e-01	7.722190128850695001e-02	3.083083083083082876e+00
1.695673430642431478e-01	7.805302977529532393e-02	3.103103103103102889e+00
1.714987901797004610e-01	7.886885679033409091e-02	3.123123123123122902e+00
1.733961167176954477e-01	7.966875696502906390e-02	3.143143143143142915e+00
1.752576363101869539e-01	8.045210504133386287e-02	3.163163163163162928e+00
1.770816550392373956e-01	8.121827596937575278e-02	3.183183183183182940e+00
1.788664722720107181e-01	8.196664502298804666e-02	3.203203203203202953e+00
1.806103817982498139e-01	8.269658795345113944e-02	3.223223223223223410e+00
1.823116725424903106e-01	8.340748107852916093e-02	3.243243243243243423e+00
1.839686293646655424e-01	8.409870135923847023e-02	3.263263263263263436e+00
1.855795342208769183e-01	8.476962651248676206e-02	3.283283283283283449e+00
1.871426669897431616e-01	8.541963508565326990e-02	3.303303303303303462e+00
1.886563062372315913e-01	8.604810650156267948e-02	3.323323323323323475e+00
1.901187303902089620e-01	8.665442113105117916e-02	3.343343343343343488e+00
1.915282186747289672e-01	8.723796034759380424e-02	3.363363363363363501e+00
1.928830518501514213e-01	8.779810654711048268e-02	3.383383383383383514e+00
1.941815133855273601e-01	8.833424318315928614e-02	3.403403403403403527e+00
1.954218905022802322e-01	8.884575479736891990e-02	3.423423423423423539e+00
1.966024748852703008e-01	8.933202701955809955e-02	3.443443443443443552e+00
1.977215638546430121e-01	8.979244656961662963e-02	3.463463463463463565e+00
1.987774615011735080e-01	9.022640126136527439e-02	3.483483483483483578e+00
1.997684793824854310e-01	9.063327998726629364e-02	3.503503503503503591e+00
2.006929376862055525e-01	9.101247269186095445e-02	3.523523523523523604e+00
2.015491664429079066e-01	9.136337034884298158e-02	3.543543543543543617e+00
2.023355062152779049e-01	9.168536493366911955e-02	3.563563563563563630e+00
2.030503092518985697e-01	9.197784937373364167e-02	3.583583583583583643e+00
2.036919407596440856e-01	9.224021750068764347e-02	3.603603603603603656e+00
2.042587795927927885e-01	9.247186401359792918e-02	3.623623623623623669e+00
2.047492194007650701e-01	9.267218441097826997e-02	3.643643643643643681e+00
2.051616699377346864e-01	9.284057492263117495e-02	3.663663663663663694e+00
2.054945577601160756e-01	9.297643246547404594e-02	3.683683683683683707e+00
2.057463273721768238e-01	9.307915456254803321e-02	3.703703703703703720e+00
2.059154425469547633e-01	9.314813926070536487e-02	3.723723723723723733e+00
2.060003870234552448e-01	9.318278508175809050e-02	3.743743743743743746e+00
2.059996657935718178e-01	9.318146638637506141e-02	3.763763763763763759e+00
2.059118067525694262e-01	9.313753686587387948e-02	3.783783783783783772e+00
2.057353637329142060e-01	9.304931535604625548e-02	3.803803803803803785e+00
2.054689181271246723e-01	9.291609255315148863e-02	3.823823823823823798e+00
2.051110801421032193e-01	9.273717356064076212e-02	3.843843843843843811e+00
2.046604898808215001e-01	9.251187842999990252e-02	3.863863863863863823e+00
2.041158182275271682e-01	9.223954260335273658e-02	3.883883883883883836e+00
2.034757681907016780e-01	9.191951758494000535e-02	3.903903903903903849e+00
2.027390759258928532e-01	9.155117145253557909e-02	3.923923923923923862e+00
2.019045115952829983e-01	9.113388928723065163e-02	3.943943943943943875e+00
2.009708806708929152e-01	9.066707382503561008e-02	3.963963963963963888e+00
1.999370249607699268e-01	9.015014596997411589e-02	3.983983983983983901e+00
1.988018234199561696e-01	8.958254519956723727e-02	4.004004004004004358e+00
1.975641934020738455e-01	8.896373019062608911e-02	4.024024024024024371e+00
1.962230916990589102e-01	8.829317933911860761e-02	4.044044044044044384e+00
1.947775152887334937e-01	8.757039113395589935e-02	4.064064064064064397e+00
1.932265025211436504e-01	8.679488475016097770e-02	4.084084084084084409e+00
1.915691341811822379e-01	8.596620058018027144e-02	4.104104104104104422e+00
1.898045341610775372e-01	8.508390057012792107e-02	4.124124124124124435e+00
1.879318705698294623e-01	8.414756877450388362e-02	4.144144144144144448e+00
1.859503568189573020e-01	8.315681189906780346e-02	4.164164164164164461e+00
1.838592522135004681e-01	8.211125959633938654e-02	4.184184184184184474e+00
1.816578629871811734e-01	8.101056498317973920e-02	4.204204204204204487e+00
1.793455433794459986e-01	7.985440517931216564e-02	4.224224224224224500e+00
1.769216961687931078e-01	7.864248157398572026e-02	4.244244244244244513e+00
1.743857736300901129e-01	7.737452030463420893e-02	4.264264264264264526e+00
1.717372785419032932e-01	7.605027276054079910e-02	4.284284284284284539e+00
1.689757647534429197e-01	7.466951586631061233e-02	4.304304304304304551e+00
1.661008379757683007e-01	7.323205247747330282e-02	4.324324324324324564e+00
1.631121567226397895e-01	7.173771185090904723e-02	4.344344344344344577e+00
1.600094329637678503e-01	7.018634997147307764e-02	4.364364364364364590e+00
1.567924326987118200e-01	6.857784983894507636e-02	4.384384384384384603e+00
1.534609768201576074e-01	6.691212189966795620e-02	4.404404404404404616e+00
1.500149418629216080e-01	6.518910442104995651e-02	4.424424424424424629e+00
1.464542603612233040e-01	6.340876367020080451e-02	4.444444444444444642e+00
1.427789216657732452e-01	6.157109432247578201e-02	4.464464464464464655e+00
1.389889726369801792e-01	5.967611980807924904e-02	4.484484484484484668e+00
1.350845180108179722e-01	5.772389249499814551e-02	4.504504504504504681e+00
1.310657209824810931e-01	5.571449398082970600e-02	4.524524524524524693e+00
1.269328038597028196e-01	5.364803541944056925e-02	4.544544544544544706e+00
1.226860485318598398e-01	5.152465775551907240e-02	4.564564564564564719e+00
1.183257967281821921e-01	4.934453185368024852e-02	4.584584584584584732e+00
1.138524506931619940e-01	4.710785883617015640e-02	4.604604604604604745e+00
1.092664735993594954e-01	4.481487028926890021e-02	4.624624624624624758e+00
1.045683897636665999e-01	4.246582837142245243e-02	4.644644644644644771e+00
9.975878505839533283e-02	4.006102601878682584e-02	4.664664664664664784e+00
9.483830737142207035e-02	3.760078717530019460e-02	4.684684684684684797e+00
8.980766681543139729e-02	3.508546689730485113e-02	4.704704704704704810e+00
8.466763585204584164e-02	3.251545141561207330e-02	4.724724724724724823e+00
7.941904976614244660e-02	2.989115837266037926e-02	4.744744744744744835e+00
7.406280681141180766e-02	2.721303689529506326e-02	4.764764764764764848e+00
6.859986826025335493e-02	2.448156761971582648e-02	4.784784784784784861e+00
6.303125861078526238e-02	2.169726279498178367e-02	4.804804804804804874e+00
5.735806584825259985e-02	1.886066641371544894e-02	4.824824824824824887e+00
5.158144134176659290e-02	1.597235416047244547e-02	4.844844844844844900e+00
4.570259987356167092e-02	1.303293342636998794e-02	4.864864864864864913e+00
3.972281986824364314e-02	1.004304342371097405e-02	4.884884884884884926e+00
3.364344323245904711e-02	7.003355105818676041e-03	4.904904904904904939e+00
2.746587524119723997e-02	3.914571110187770736e-03	4.924924924924924952e+00
2.119158460697095556e-02	7.774257930746306978e-04	4.944944944944944965e+00
1.482210317523588970e-02	-2.401105248727779425e-03	4.964964964964964977e+00
8.359022977273323704e-03	-5.606383243486284459e-03	4.984984984984984990e+00
1.803991488402753585e-03	-8.836384604595988804e-03	5.005005005005005003e+00
-4.841289484832750692e-03	-1.208953434332852780e-02	5.025025025025025016e+00
-1.157506457459137744e-02	-1.536425222292233175e-02	5.045045045045045029e+00
-1.839552514628032057e-02	-1.865895395463752424e-02	5.065065065065065042e+00
-2.530080982550118873e-02	-2.197205321869255892e-02	5.085085085085085055e+00
-3.228900537661769793e-02	-2.530196369633263068e-02	5.105105105105105068e+00
-3.935814705400988295e-02	-2.864710019733071947e-02	5.125125125125125081e+00
-4.650621915622425023e-02	-3.200588052468098660e-02	5.145145145145145094e+00
-5.373115599656414637e-02	-3.537672743835994227e-02	5.165165165165165106e+00
-6.103084231663604559e-02	-3.875806970267218349e-02	5.185185185185185119e+00
-6.840311387691203060e-02	-4.214834378447900043e-02	5.205205205205205132e+00
-7.584575849822706994e-02	-4.554599568114227337e-02	5.225225225225225145e+00
-8.335651653510695036e-02	-4.894948188617530282e-02	5.245245245245245158e+00
-9.093308150947193580e-02	-5.235727091327255917e-02	5.265265265265265171e+00
-9.857310120662202135e-02	-5.576784494221221494e-02	5.285285285285285184e+00
-1.062741782063016532e-01	-5.917970069672359029e-02	5.305305305305305197e+00
-1.140338705599420327e-01	-6.259135078145511288e-02	5.325325325325325210e+00
-1.218496929322095135e-01	-6.600132512250844741e-02	5.345345345345345223e+00
-1.297191171866176884e-01	-6.940817174638480580e-02	5.365365365365365236e+00
-1.376395731026660851e-01	-7.281045791896975650e-02	5.385385385385385248e+00
-1.456084495592395722e-01	-7.620677137024292613e-02	5.405405405405405261e+00
-1.536230951699716907e-01	-7.959572096173954392e-02	5.425425425425425274e+00
-1.616808190369781739e-01	-8.297593762417068697e-02	5.445445445445445287e+00
-1.697788919724098067e-01	-8.634607535976085435e-02	5.465465465465465300e+00
-1.779145471802552614e-01	-8.970481178999126226e-02	5.485485485485485313e+00
-1.860849810428255591e-01	-9.305084889316792007e-02	5.505505505505505326e+00
-1.942873543767697220e-01	-9.638291378251505337e-02	5.525525525525525339e+00
-2.025187931598217972e-01	-9.969975912975531651e-02	5.545545545545545352e+00
-2.107763893453968029e-01	-1.030001637080983912e-01	5.565565565565565365e+00
-2.190572021493454591e-01	-1.062829329488582247e-01	5.585585585585585378e+00
-2.273582588222140821e-01	-1.095468992393007213e-01	5.605605605605605390e+00
-2.356765554863441692e-01	-1.127909222806170314e-01	5.625625625625625403e+00
-2.440090584495027137e-01	-1.160138894301198237e-01	5.645645645645645416e+00
-2.523527050254919524e-01	-1.192147158735338691e-01	5.665665665665665429e+00
-2.607044043870970218e-01	-1.223923448116280288e-01	5.685685685685685442e+00
-2.690610389023811999e-01	-1.255457475989225080e-01	5.705705705705705455e+00
-2.774194650089090164e-01	-1.286739237911347922e-01	5.725725725725725468e+00
-2.857765140749048971e-01	-1.317759011781240996e-01	5.745745745745745481e+00
-2.941289937533302368e-01	-1.348507357335902157e-01	5.765765765765765494e+00
-3.024736889174616805e-01	-1.378975115378154037e-01	5.785785785785785507e+00
-3.108073625219253677e-01	-1.409153406780700446e-01	5.805805805805805520e+00
-3.191267569685972139e-01	-1.439033630271595865e-01	5.825825825825825532e+00
-3.274285951135637585e-01	-1.468607460402371057e-01	5.845845845845845545e+00
-3.357095811196206259e-01	-1.497866845462984264e-01	5.865865865865865558e+00
-3.439664018265137790e-01	-1.526804003767689433e-01	5.885885885885885571e+00
-3.521957278409946768e-01	-1.555411420335790496e-01	5.905905905905905584e+00
-3.603942143732823955e-01	-1.583681843962251035e-01	5.925925925925925597e+00
-3.685585026025238742e-01	-1.611608282247800061e-01	5.945945945945945610e+00
-3.766852208618171050e-01	-1.639183996955905498e-01	5.965965965965965623e+00
-3.847709854534473450e-01	-1.666402500470207382e-01	5.985985985985985636e+00
-3.928124019995534177e-01	-1.693257549837018094e-01	6.006006006006005649e+00
-4.008060667312897118e-01	-1.719743140775364665e-01	6.026026026026025662e+00
-4.087485672814763493e-01	-1.745853503713989396e-01	6.046046046046045674e+00
-4.166364840119592960e-01	-1.771583097117357952e-01	6.066066066066065687e+00
-4.244663914087289935e-01	-1.796926600177859989e-01	6.086086086086085700e+00
-4.322348588555812166e-01	-1.821878908565704169e-01	6.106106106106105713e+00
-4.399384519363911394e-01	-1.846435127267131437e-01	6.126126126126125726e+00
-4.475737339235279499e-01	-1.870590562099442300e-01	6.146146146146145739e+00
-4.551372665411183016e-01	-1.894340715238753137e-01	6.166166166166165752e+00
-4.626256112567544432e-01	-1.917681277676862028e-01	6.186186186186185765e+00
-4.700353308205499903e-01	-1.940608119925244235e-01	6.206206206206205778e+00
-4.773629900556263239e-01	-1.963117287164872216e-01	6.226226226226225791e+00
-4.846051571336743025e-01	-1.985204991511520523e-01	6.246246246246245803e+00
-4.917584051242504528e-01	-2.006867602313373022e-01	6.266266266266265816e+00
-4.988193128757040795e-01	-2.028101640554736962e-01	6.286286286286285829e+00
-5.057844662223733856e-01	-2.048903771390314377e-01	6.306306306306305842e+00
-5.126504595450960267e-01	-2.069270794193399099e-01	6.326326326326325855e+00
-5.194138967804914353e-01	-2.089199635985542758e-01	6.346346346346345868e+00
-5.260713925278553971e-01	-2.108687344541371467e-01	6.366366366366365881e+00
-5.326195736064228692e-01	-2.127731078430526446e-01	6.386386386386385894e+00
-5.390550802265318131e-01	-2.146328099287271030e-01	6.406406406406405907e+00
-5.453745669840555088e-01	-2.164475765612769997e-01	6.426426426426426808e+00
-5.515747043901808588e-01	-2.182171523095626509e-01	6.446446446446446821e+00
-5.576521802225609115e-01	-2.199412895661596312e-01	6.466466466466466834e+00
-5.636037004156279062e-01	-2.216197479925540448e-01	6.486486486486486847e+00
-5.694259905444278846e-01	-2.232522935998688396e-01	6.506506506506506859e+00
-5.751157973417879710e-01	-2.248386977496740213e-01	6.526526526526526872e+00
-5.806698895087950563e-01	-2.263787366466818440e-01	6.546546546546546885e+00
-5.860850591675446086e-01	-2.278721904620513439e-01	6.566566566566566898e+00
-5.913581234646285711e-01	-2.293188422921744740e-01	6.586586586586586911e+00
-5.964859253826941821e-01	-2.307184776455165065e-01	6.606606606606606924e+00
-6.014653351485869104e-01	-2.320708836141036902e-01	6.626626626626626937e+00
-6.062932518373473911e-01	-2.333758478564927630e-01	6.646646646646646950e+00
-6.109666043164189153e-01	-2.346331579962539216e-01	6.666666666666666963e+00
-6.154823525068379153e-01	-2.358426008974212895e-01	6.686686686686686976e+00
-6.198374889918996100e-01	-2.370039616789009485e-01	6.706706706706706989e+00
-6.240290401508816753e-01	-2.381170229930503202e-01	6.726726726726727001e+00
-6.280540672378450706e-01	-2.391815644155758369e-01	6.746746746746747014e+00
-6.319096679634499392e-01	-2.401973615160481745e-01	6.766766766766767027e+00
-6.355929778500277738e-01	-2.411641850040260604e-01	6.786786786786787040e+00
-6.391011711393591588e-01	-2.420818002155253335e-01	6.806806806806807053e+00
-6.424314623192650675e-01	-2.429499662550070604e-01	6.826826826826827066e+00
-6.455811076729445208e-01	-2.437684350349569040e-01	6.846846846846847079e+00
-6.485474060597639090e-01	-2.445369508250697654e-01	6.866866866866867092e+00
-6.513277004180544338e-01	-2.452552494365113911e-01	6.886886886886887105e+00
-6.539193793533141230e-01	-2.459230572586880437e-01	6.906906906906907118e+00
-6.563198779848036235e-01	-2.465400907555444776e-01	6.926926926926927131e+00
-6.585266793072541702e-01	-2.471060557416835946e-01	6.946946946946947143e+00
-6.605373157759232283e-01	-2.476206464541277352e-01	6.966966966966967156e+00
-6.623493703565555002e-01	-2.480835449162041573e-01	6.986986986986987169e+00
-6.639604776458173374e-01	-2.484944203448007094e-01	7.007007007007007182e+00
-6.653683254318171203e-01	-2.488529282760966188e-01	7.027027027027027195e+00
-6.665706560022993665e-01	-2.491587097699207165e-01	7.047047047047047208e+00
-6.675652670256360111e-01	-2.494113909338865065e-01	7.067067067067067221e+00
-6.683500130509326675e-01	-2.496105821187258045e-01	7.087087087087087234e+00
-6.689228070334408693e-01	-2.497558769963010017e-01	7.107107107107107247e+00
-6.692816210178021974e-01	-2.498468521786131047e-01	7.127127127127127260e+00
-6.694244878087756145e-01	-2.498830663107626526e-01	7.147147147147147273e+00
-6.693495025194964310e-01	-2.498449107994944463e-01	7.167167167167167285e+00
-6.690548319590363668e-01	-2.496975755192643864e-01	7.187187187187187298e+00
-6.685387272165983497e-01	-2.494395231480453778e-01	7.207207207207207311e+00
-6.677995269020936542e-01	-2.490699229907930579e-01	7.227227227227227324e+00
-6.668356581000469685e-01	-2.485879885897697428e-01	7.247247247247247337e+00
-6.656456377653274803e-01	-2.479929784224099987e-01	7.267267267267267350e+00
-6.642280741297377222e-01	-2.472841966046151196e-01	7.287287287287287363e+00
-6.625816675770955788e-01	-2.464609933282940757e-01	7.307307307307307376e+00
-6.607052119957872449e-01	-2.455227655376398532e-01	7.327327327327327389e+00
-6.585975959825143278e-01	-2.444689575310034502e-01	7.347347347347347402e+00
-6.562578036636809165e-01	-2.432990613715867445e-01	7.367367367367367414e+00
-6.536849159636609619e-01	-2.420126175215767950e-01	7.387387387387387427e+00
-6.508781116190748284e-01	-2.406092153492837005e-01	7.407407407407407440e+00
-6.478366679466563971e-01	-2.390884935130744848e-01	7.427427427427427453e+00
-6.445599619922713908e-01	-2.374501405358819539e-01	7.447447447447447466e+00
-6.410474713820701886e-01	-2.356938952307813806e-01	7.467467467467467479e+00
-6.372987750182226296e-01	-2.338195470488575733e-01	7.487487487487487492e+00
-6.333135540894621052e-01	-2.318269365844773389e-01	7.507507507507507505e+00
-6.290915927803307772e-01	-2.297159559299117026e-01	7.527527527527527518e+00
-6.246327788713198492e-01	-2.274865489754061831e-01	7.547547547547547531e+00
-6.199371046046571188e-01	-2.251387118420748734e-01	7.567567567567567544e+00
